,id,wellpads_id,longitude_pad,latitude_pad,longitude_well,latitude_well,basin,county,state,block,section,pad_area_km2,operator_name,tst_first_detection_date,tst_permit_date,tst_spud_date,tst_regulator_completion_date,tst_fracfocus_jobstart_date,tst_fracfocus_jobend_date
0,75288,104109,-102.28731,31.997337,-102.287315341895,31.997161632131906,Permian,Midland,Texas,41 01S,23,0.01170415,FASKEN LAND AND MINERALS LTD,2018-05-03 00:00:00,2012-01-05,2012-09-24,2012-11-06,2012-10-30 00:00:00,2012-10-30 00:00:00
1,128141,771766,-101.92609,32.019257,-101.92666104493357,32.01830759152435,Permian,Midland,Texas,,,0.03464336,"BAXTER, MURPHY H.",2020-07-26 00:00:00,1983-09-09,,1983-09-27,,
2,128142,367428,-101.94029,31.965864,-101.94009188363056,31.9658164149048,Permian,Midland,Texas,37 T2S,47,0.0032,ENDEAVOR ENERGY RESOURCES LP,2018-05-06 00:00:00,2013-02-05,,,2012-12-27 00:00:00,2012-12-27 00:00:00
3,128151,108373,-102.26697,31.828806,-102.26720577624795,31.82859055439215,Permian,Midland,Texas,41 T2S,42,0.009995493,OXY USA INC,2018-05-06 00:00:00,1997-10-28,,,,
4,128159,310782,-102.25507,31.80481,-102.2549467739976,31.804794995578835,Permian,Midland,Texas,41 T3S,9,0.0027,OXY USA WTP LP,2018-05-16 00:00:00,1984-06-21,,2015-03-01,,
5,128163,135309,-102.2312,31.731348,-102.23133184938445,31.731318894936475,Permian,Midland,Texas,41 T3S,40,0.01316038,OXY USA INC,2018-05-06 00:00:00,1994-04-04,,,,
6,128165,104344,-101.91354,31.979637,-101.91392605365611,31.979668819248484,Permian,Midland,Texas,,,0.0111372275,PIONEER NATURAL RES USA INC,2018-05-03 00:00:00,1987-05-28,,,,
7,128166,106934,-101.79622,31.874498,-101.79629243714591,31.874495779073488,Permian,Midland,Texas,37 T3S,24,0.015970867,ENDEAVOR ENERGY RESOURCES LP,2018-05-03 00:00:00,2016-07-15,2016-07-19,2016-09-01,2016-08-15 00:00:00,2016-08-17 00:00:00
8,128175,270028,-102.22385,31.65363,-102.223812163149,31.65379959253415,Permian,Midland,Texas,41 T4S,20,0.0037448297,ENDEAVOR ENERGY RESOURCES LP,2018-06-05 00:00:00,2011-11-28,,,,
9,128181,105819,-102.12003,31.92816,-102.11996138011486,31.928321645843695,Permian,Midland,Texas,39 T2S,19,0.010293278,ENDEAVOR ENERGY RESOURCES LP,2018-05-03 00:00:00,2012-04-18,,2012-05-17,,
10,128184,108625,-102.13002,31.8169,-102.1303063521218,31.81685352359974,Permian,Midland,Texas,40 T3S,9,0.015125627,XTO ENERGY INC,2018-05-06 00:00:00,1994-10-28,1994-12-09,1995-02-25,,
11,128190,776123,-102.15528,31.844149,-102.1553510404988,31.844295485942435,Permian,Midland,Texas,,,0.009442003,COG OPERATING LLC,2018-05-11 00:00:00,1993-07-15,1993-07-23,1993-08-09,,
12,128198,114100,-102.14502,31.657505,-102.14509999986512,31.657272265295997,Permian,Midland,Texas,40 T4S,30,0.008021221,HENRY PETROLEUM LP,2018-05-03 00:00:00,2002-04-10,2002-05-15,2019-05-13,,
13,128215,114153,-102.12192,31.655495,-102.12215712480058,31.65547735536037,Permian,Midland,Texas,40 T4S,32,0.011062954,MOBIL PRODUCING TX. & N.M. INC.,2018-05-06 00:00:00,2005-06-15,,2005-07-19,,
14,128229,112784,-102.18208,31.701674,-102.18185628112656,31.70169478194571,Permian,Midland,Texas,41 T4S,12,0.013843398,APACHE CORP,2018-05-06 00:00:00,2014-11-07,,,,
15,128244,210345,-102.282745,31.836033,-102.28274936625107,31.83620117071722,Permian,Midland,Texas,41 T2S,40,0.0054151695,ANADARKO PETROLEUM CORP,2018-05-03 00:00:00,2004-11-04,2004-12-14,2005-01-28,,
16,128247,108267,-102.28164,31.83293,-102.28164149424374,31.832550291855604,Permian,Midland,Texas,41 T2S,40,0.0122180125,ANADARKO PETROLEUM CORP,2018-05-03 00:00:00,1981-06-05,,2002-05-15,,
17,128248,108138,-102.27463,31.838137,-102.27455606577546,31.83814993404185,Permian,Midland,Texas,41 T2S,39,0.0065262048,FOUR STAR OIL AND GAS COMPANY,2018-05-03 00:00:00,2006-01-23,2006-04-11,,,
18,128249,107691,-102.28422,31.854692,-102.28424598898128,31.85462993375877,Permian,Midland,Texas,41 T2S,33,0.006806418,ANADARKO PETROLEUM CORP,2018-05-03 00:00:00,1983-05-25,,1983-07-30,,
19,128253,108014,-102.27137,31.842688,-102.27153160810767,31.842636379449182,Permian,Midland,Texas,41 T2S,39,0.012220431,COG OPERATING LLC,2018-07-07 00:00:00,1993-07-07,,,,
20,128265,113139,-102.147064,31.689758,-102.14692473890584,31.689954395207174,Permian,Midland,Texas,40 T4S,18,0.005535704,APACHE CORP,2018-05-06 00:00:00,1987-08-03,,1997-04-15,,
21,128267,108742,-102.27627,31.81517,-102.27607701035171,31.814690822505348,Permian,Midland,Texas,41 T3S,5,0.022344736,OXY USA WTP LP,2018-05-03 00:00:00,1984-06-21,,2017-01-01,,
22,128271,103566,-102.22041,32.017906,-102.22028249664855,32.017754817618695,Permian,Midland,Texas,40 T1S,21,0.0073874546,ENVIRONMENTAL DISPOSAL SYSTEMS LLC,2018-05-03 00:00:00,1983-05-20,1983-05-23,2011-11-17,,
23,128274,105302,-101.82353,31.94256,-101.8237113876997,31.94241618681473,Permian,Midland,Texas,37 T2S,3,0.0059807203,PIONEER NATURAL RES USA INC,2018-05-03 00:00:00,1996-05-21,1996-05-23,1997-01-22,,
24,128276,111573,-102.21083,31.736357,-102.2108511642666,31.736458960220062,Permian,Midland,Texas,41 T3S,38,0.008589587,UMC PETROLEUM CORPORATION,2018-05-03 00:00:00,1996-05-13,,2018-10-04,,
25,128278,113414,-102.128746,31.68022,-102.12899972224496,31.680220056684966,Permian,Midland,Texas,40 T4S,20,0.0056728073,MOBIL PRODUCING TX. & N.M. INC.,2018-05-06 00:00:00,1998-10-06,1998-11-27,1999-02-25,,
26,128285,104026,-101.9108,31.99201,-101.91085908987682,31.99219022714349,Permian,Midland,Texas,37 T2S,55,0.0064055957,PIONEER NATURAL RES USA INC,2018-05-06 00:00:00,1979-05-25,,1979-07-16,,
27,128286,106800,-102.17408,31.888742,-102.17380028425146,31.888910229811263,Permian,Midland,Texas,40 T2S,28,0.0056985742,CHEVRON USA INC,2018-05-06 00:00:00,1999-07-09,1999-07-26,1999-10-03,,
