,id,pad_id,longitude_pad,latitude_pad,county,state,operator_principal,parent_operator_co,company_type,pad_status,tst_first_detection_date
0,785713,9tx4949s,-102.60998,31.3915,Crane,Texas,ENDEAVOR ENERGY RESOURCES LP,ENDEAVOR ENERGY RESOURCES,Private,no permit,
1,782622,9tx506jy,-102.637276,31.47698,Crane,Texas,SLANT OPERATING LLC,SLANT ENERGY,Private,no permit,
2,767506,9txwbg6q,-101.91689,32.143063,Martin,Texas,PIONEER NATURAL RES USA INC,PIONEER,Public,no permit,2019-05-16 00:00:00.000
3,857865,9txjwwed,-102.36578,31.940508,Ector,Texas,EUREKA PROSPECTING COMPANY,,,no permit,2022-05-10 00:00:00.000
4,844987,9txx3j8w,-101.908455,32.243195,Martin,Texas,PIONEER NATURAL RES USA INC,PIONEER,Public,no permit,2021-12-21 00:00:00.000
5,282849,9trq1zye,-102.21872,30.629183,Pecos,Texas,EOG RESOURCES INC,EOG RESOURCES,Public,no permit,2018-05-03 00:00:00.000
6,751874,9txst71b,-101.71993,31.74512,Glasscock,Texas,"VENCER ENERGY, LLC",NaN,NaN,no permit,2019-06-27 00:00:00.000
7,658585,9twq1139,-103.664856,31.999395,Loving,Texas,EOG RESOURCES INC,EOG RESOURCES,Public,no permit,2021-02-24 00:00:00.000
8,688873,9v2pnhrs,-100.97569,30.785866,Crockett,Texas,ZARVONA ENERGY LLC,ZARVONA ENERGY,Private,no permit,2021-04-02 00:00:00.000
9,726732,9tyfprjy,-102.68116,32.73485,Gaines,Texas,OXY USA INC,OCCIDENTAL,Public,no permit,2021-05-05 00:00:00.000
10,465789,9vb4tdxc,-100.99734,32.797264,Scurry,Texas,KINDER MORGAN PRODUCTION CO LLC,KINDER MORGAN,Public,no permit,2019-11-09 00:00:00.000
11,791866,9tvftk3p,-104.18168,32.80789,Eddy,New Mexico,"Grizzly Operating, LLC",NaN,NaN,no permit,2021-08-23 00:00:00.000
12,841301,9vbe9fzq,-100.45982,32.975155,Stonewall,Texas,PEREGRINE PETROLEUM PARTNERS LTD,PEREGRINE PETROLEUM,Private,no permit,2021-11-28 00:00:00.000
13,785287,9tx52f0j,-102.623024,31.520786,Crane,Texas,"BLACKBEARD OPERATING, LLC",NaN,NaN,no permit,
14,255764,9tx34c23,-102.18334,31.120441,Upton,Texas,None,NaN,NaN,no permit,2019-12-02 00:00:00.000
15,786228,9tx51j7u,-102.60713,31.494478,Crane,Texas,SLANT OPERATING LLC,SLANT ENERGY,Private,no permit,
16,658878,9tws5m0j,-103.21653,31.669098,Winkler,Texas,PIONEER NATURAL RES USA INC,PIONEER,Public,no permit,2021-02-24 00:00:00.000
