,t_n,company_type,area_m2,wells,wellpad_vintage_year,flares_n_acc,flares_power,flares_power_acc,n_completions,t_comp_diff,t_spud_diff,is_flaring,flaring_gap,temporal_group_1.0,temporal_group_2.0,temporal_group_3.0,temporal_group_4.0,temporal_group_5.0,temporal_group_6.0,temporal_group_7.0,temporal_group_8.0,temporal_group_9.0,temporal_group_10.0,temporal_group_11.0,temporal_group_12.0,temporal_group_13.0,temporal_group_14.0,temporal_group_15.0,temporal_group_16.0,temporal_group_17.0,temporal_group_18.0,temporal_group_19.0,temporal_group_20.0,temporal_group_21.0,temporal_group_22.0,temporal_group_23.0,temporal_group_24.0,temporal_group_25.0,temporal_group_9999.0
0,1,0,35732.246,1,2017,0,0.0,0.0,0,9999.0,9999.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,2,0,35732.246,1,2017,0,0.0,0.0,0,9999.0,9999.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,3,0,35732.246,1,2017,0,0.0,0.0,0,9999.0,9999.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,4,0,35732.246,1,2017,0,0.0,0.0,0,9999.0,9999.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4,5,0,35732.246,1,2017,0,0.0,0.0,0,9999.0,9999.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5,6,0,35732.246,1,2017,0,0.0,0.0,0,9999.0,9999.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6,7,0,35732.246,1,2017,0,0.0,0.0,0,9999.0,9999.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7,8,0,35732.246,1,2017,0,0.0,0.0,0,9999.0,9999.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8,9,0,35732.246,1,2017,0,0.0,0.0,0,9999.0,9999.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9,10,0,35732.246,1,2017,0,0.0,0.0,0,9999.0,9999.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10,11,0,35732.246,1,2017,0,0.0,0.0,0,9999.0,9999.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
11,12,0,35732.246,1,2017,0,0.0,0.0,0,9999.0,9999.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
12,13,0,35732.246,1,2017,0,0.0,0.0,0,9999.0,9999.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
13,14,0,35732.246,1,2017,0,0.0,0.0,0,9999.0,9999.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
14,15,0,35732.246,1,2017,0,0.0,0.0,0,9999.0,9999.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
15,16,0,35732.246,1,2017,0,0.0,0.0,0,9999.0,9999.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
16,17,0,35732.246,1,2017,0,0.0,0.0,0,9999.0,9999.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
17,18,0,35732.246,1,2017,0,0.0,0.0,0,9999.0,9999.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
18,19,0,35732.246,1,2017,0,0.0,0.0,0,9999.0,9999.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
19,20,0,35732.246,1,2017,0,0.0,0.0,0,9999.0,9999.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
20,21,0,35732.246,1,2017,0,0.0,0.0,0,9999.0,9999.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
21,22,0,35732.246,1,2017,0,0.0,0.0,0,9999.0,9999.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
22,23,0,35732.246,1,2017,0,0.0,0.0,0,9999.0,9999.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
23,24,0,35732.246,1,2017,0,0.0,0.0,0,9999.0,9999.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
24,25,0,35732.246,1,2017,0,0.0,0.0,0,9999.0,9999.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
