,wellpads_id,well_id_x,tst_first_detection_date,first_detection_img,tst_permit_date,permit_date_img,tst_spud_date,spud_date_iimg,tst_regulator_completion_date,regulator_completion_date_img,tst_fracfocus_jobstart_date,fracfocus_jobstart_date_img,tst_fracfocus_jobend_date,fracfocus_jobend_date_img,ts_flaring_energy_daily_GJ,ts_flaring_power_MW,Date,diff_first_detection_flare,diff_permit_flare,diff_spud_flare,diff_regulator_completion_flare,diff_fracfocus_jobstart_flare,diff_fracfocus_jobend_flare
71,741130,137407,2018/5/3,,2020/1/24,,2020/2/4,,2021/4/3,,2021/2/9,,2021/3/2,,141.5373564,0.8769871,2021/6/8,1132,501,490,66,119,98
72,741130,137407,2018/5/3,,2020/1/24,,2020/2/4,,2021/4/3,,2021/2/9,,2021/3/2,,365.8950677,5.416762,2021/6/9,1133,502,491,67,120,99
73,741130,137407,2018/5/3,,2020/1/24,,2020/2/4,,2021/4/3,,2021/2/9,,2021/3/2,,69.08291651,0.73427206,2021/6/10,1134,503,492,68,121,100
74,741130,137407,2018/5/3,,2020/1/24,,2020/2/4,,2021/4/3,,2021/2/9,,2021/3/2,,47.53325495,0.72470117,2021/6/23,1147,516,505,81,134,113
75,741130,137407,2018/5/3,,2020/1/24,,2020/2/4,,2021/4/3,,2021/2/9,,2021/3/2,,48.08074336,0.7373817,2021/7/26,1180,549,538,114,167,146
76,741130,137403,2018/5/3,,2020/1/24,,2020/2/9,,2021/3/17,,2021/2/9,,2021/3/1,,141.5373564,0.8769871,2021/6/8,1132,501,485,83,119,99
77,741130,137403,2018/5/3,,2020/1/24,,2020/2/9,,2021/3/17,,2021/2/9,,2021/3/1,,365.8950677,5.416762,2021/6/9,1133,502,486,84,120,100
78,741130,137403,2018/5/3,,2020/1/24,,2020/2/9,,2021/3/17,,2021/2/9,,2021/3/1,,69.08291651,0.73427206,2021/6/10,1134,503,487,85,121,101
79,741130,137403,2018/5/3,,2020/1/24,,2020/2/9,,2021/3/17,,2021/2/9,,2021/3/1,,47.53325495,0.72470117,2021/6/23,1147,516,500,98,134,114
80,741130,137403,2018/5/3,,2020/1/24,,2020/2/9,,2021/3/17,,2021/2/9,,2021/3/1,,48.08074336,0.7373817,2021/7/26,1180,549,533,131,167,147
81,741130,137404,2018/5/3,,2020/1/24,,2020/2/7,,2021/3/21,,2021/2/9,,2021/3/2,,141.5373564,0.8769871,2021/6/8,1132,501,487,79,119,98
82,741130,137404,2018/5/3,,2020/1/24,,2020/2/7,,2021/3/21,,2021/2/9,,2021/3/2,,365.8950677,5.416762,2021/6/9,1133,502,488,80,120,99
83,741130,137404,2018/5/3,,2020/1/24,,2020/2/7,,2021/3/21,,2021/2/9,,2021/3/2,,69.08291651,0.73427206,2021/6/10,1134,503,489,81,121,100
84,741130,137404,2018/5/3,,2020/1/24,,2020/2/7,,2021/3/21,,2021/2/9,,2021/3/2,,47.53325495,0.72470117,2021/6/23,1147,516,502,94,134,113
85,741130,137404,2018/5/3,,2020/1/24,,2020/2/7,,2021/3/21,,2021/2/9,,2021/3/2,,48.08074336,0.7373817,2021/7/26,1180,549,535,127,167,146
116,113551,135787,2018/5/3,,2018/2/5,,2018/5/18,,2018/10/13,,2018/8/23,,2018/9/18,,82.27380679,1.13789,2019/5/18,380,467,365,217,268,242
117,113551,135787,2018/5/3,,2018/2/5,,2018/5/18,,2018/10/13,,2018/8/23,,2018/9/18,,54.22546884,0.661933,2019/5/19,381,468,366,218,269,243
118,113551,135787,2018/5/3,,2018/2/5,,2018/5/18,,2018/10/13,,2018/8/23,,2018/9/18,,483.7947976,7.17952,2019/5/28,390,477,375,227,278,252
119,113551,135787,2018/5/3,,2018/2/5,,2018/5/18,,2018/10/13,,2018/8/23,,2018/9/18,,90.49441136,1.2942,2019/7/1,424,511,409,261,312,286
120,113551,135787,2018/5/3,,2018/2/5,,2018/5/18,,2018/10/13,,2018/8/23,,2018/9/18,,37.1174325,0.388437,2019/7/2,425,512,410,262,313,287
121,113551,135787,2018/5/3,,2018/2/5,,2018/5/18,,2018/10/13,,2018/8/23,,2018/9/18,,43.33561549,0.643101,2019/7/14,437,524,422,274,325,299
122,113551,135787,2018/5/3,,2018/2/5,,2018/5/18,,2018/10/13,,2018/8/23,,2018/9/18,,25.55476585,0.379233,2019/7/27,450,537,435,287,338,312
123,113551,135787,2018/5/3,,2018/2/5,,2018/5/18,,2018/10/13,,2018/8/23,,2018/9/18,,200.7902858,2.97973,2019/8/15,469,556,454,306,357,331
124,113551,135787,2018/5/3,,2018/2/5,,2018/5/18,,2018/10/13,,2018/8/23,,2018/9/18,,42.93860707,0.485435,2019/8/25,479,566,464,316,367,341
125,113551,135787,2018/5/3,,2018/2/5,,2018/5/18,,2018/10/13,,2018/8/23,,2018/9/18,,117.6806353,1.20728,2019/8/26,480,567,465,317,368,342
126,113551,135787,2018/5/3,,2018/2/5,,2018/5/18,,2018/10/13,,2018/8/23,,2018/9/18,,267.0259214,3.81115,2019/8/27,481,568,466,318,369,343
127,113551,135787,2018/5/3,,2018/2/5,,2018/5/18,,2018/10/13,,2018/8/23,,2018/9/18,,42.40807014,0.585998,2019/8/31,485,572,470,322,373,347
128,113551,135787,2018/5/3,,2018/2/5,,2018/5/18,,2018/10/13,,2018/8/23,,2018/9/18,,28.22959191,0.345401,2019/9/1,486,573,471,323,374,348
129,113551,135787,2018/5/3,,2018/2/5,,2018/5/18,,2018/10/13,,2018/8/23,,2018/9/18,,37.28330389,0.459464,2019/9/14,499,586,484,336,387,361
130,113551,135787,2018/5/3,,2018/2/5,,2018/5/18,,2018/10/13,,2018/8/23,,2018/9/18,,67.03534245,0.746807,2019/9/15,500,587,485,337,388,362
131,113551,135787,2018/5/3,,2018/2/5,,2018/5/18,,2018/10/13,,2018/8/23,,2018/9/18,,114.7733429,1.5166,2019/9/16,501,588,486,338,389,363
132,113551,135787,2018/5/3,,2018/2/5,,2018/5/18,,2018/10/13,,2018/8/23,,2018/9/18,,69.61359574,0.739888,2019/9/17,502,589,487,339,390,364
133,113551,135787,2018/5/3,,2018/2/5,,2018/5/18,,2018/10/13,,2018/8/23,,2018/9/18,,61.48880239,0.819542,2019/9/18,503,590,488,340,391,365
134,113551,135787,2018/5/3,,2018/2/5,,2018/5/18,,2018/10/13,,2018/8/23,,2018/9/18,,48.5004845,0.6339595,2019/9/26,511,598,496,348,399,373
135,113551,135787,2018/5/3,,2018/2/5,,2018/5/18,,2018/10/13,,2018/8/23,,2018/9/18,,65.41599227,0.6827,2019/9/27,512,599,497,349,400,374
136,113551,135787,2018/5/3,,2018/2/5,,2018/5/18,,2018/10/13,,2018/8/23,,2018/9/18,,117.7738078,1.66196,2019/9/28,513,600,498,350,401,375
137,113551,135787,2018/5/3,,2018/2/5,,2018/5/18,,2018/10/13,,2018/8/23,,2018/9/18,,83.56535878,1.2398785,2019/9/30,515,602,500,352,403,377
138,113551,135787,2018/5/3,,2018/2/5,,2018/5/18,,2018/10/13,,2018/8/23,,2018/9/18,,96.0216599,1.3462345,2019/10/2,517,604,502,354,405,379
139,113551,135787,2018/5/3,,2018/2/5,,2018/5/18,,2018/10/13,,2018/8/23,,2018/9/18,,73.90211861,0.625207,2019/10/3,518,605,503,355,406,380
140,113551,135787,2018/5/3,,2018/2/5,,2018/5/18,,2018/10/13,,2018/8/23,,2018/9/18,,189.6205772,1.37081,2019/10/4,519,606,504,356,407,381
141,113551,135787,2018/5/3,,2018/2/5,,2018/5/18,,2018/10/13,,2018/8/23,,2018/9/18,,189.6205772,3.44916,2019/10/4,519,606,504,356,407,381
142,113551,135787,2018/5/3,,2018/2/5,,2018/5/18,,2018/10/13,,2018/8/23,,2018/9/18,,218.5066511,2.28794,2019/10/5,520,607,505,357,408,382
143,113551,135787,2018/5/3,,2018/2/5,,2018/5/18,,2018/10/13,,2018/8/23,,2018/9/18,,218.5066511,2.89603,2019/10/5,520,607,505,357,408,382
144,113551,135787,2018/5/3,,2018/2/5,,2018/5/18,,2018/10/13,,2018/8/23,,2018/9/18,,208.9417715,2.77529,2019/10/6,521,608,506,358,409,383
145,113551,135787,2018/5/3,,2018/2/5,,2018/5/18,,2018/10/13,,2018/8/23,,2018/9/18,,64.53036597,0.957631325,2020/8/7,827,914,812,664,715,689
154,729624,135489,2018/5/3,,2017/6/16,,2018/7/30,,2018/12/18,,2018/10/22,,2018/11/7,,78.84596167,1.24897,2019/5/22,384,705,296,155,212,196
155,729624,135490,2018/5/3,,2017/6/16,,2018/8/19,,2018/12/18,,2018/10/22,,2018/11/7,,78.84596167,1.24897,2019/5/22,384,705,276,155,212,196
156,729624,136107,2018/5/3,,2018/5/2,,2018/6/22,,2018/12/18,,2018/10/2,,2018/10/20,,78.84596167,1.24897,2019/5/22,384,385,334,155,232,214
157,729624,136157,2018/5/3,,2018/5/7,,2018/7/11,,2018/12/18,,2018/10/2,,2018/10/20,,78.84596167,1.24897,2019/5/22,384,380,315,155,232,214
158,729624,135491,2018/5/3,,2017/6/16,,2018/9/6,,2018/12/18,,2018/10/22,,2018/11/8,,78.84596167,1.24897,2019/5/22,384,705,258,155,212,195
159,729624,136106,2018/5/3,,2018/4/27,,2018/6/4,,2018/12/11,,2018/9/29,,2018/10/20,,78.84596167,1.24897,2019/5/22,384,390,352,162,235,214
163,269878,136735,2019/3/14,,2019/3/28,,2019/5/26,,2020/2/29,,2019/11/13,,2019/12/8,,20.38723652,0.309182,2020/6/3,447,433,374,95,203,178
164,269878,136735,2019/3/14,,2019/3/28,,2019/5/26,,2020/2/29,,2019/11/13,,2019/12/8,,16.82348044,0.264251,2020/6/8,452,438,379,100,208,183
165,269878,136735,2019/3/14,,2019/3/28,,2019/5/26,,2020/2/29,,2019/11/13,,2019/12/8,,60.32337027,0.916393,2020/6/30,474,460,401,122,230,205
166,269878,136737,2019/3/14,,2019/3/5,,2019/5/20,,2020/2/25,,2019/11/16,,2019/12/9,,20.38723652,0.309182,2020/6/3,447,456,380,99,200,177
167,269878,136737,2019/3/14,,2019/3/5,,2019/5/20,,2020/2/25,,2019/11/16,,2019/12/9,,16.82348044,0.264251,2020/6/8,452,461,385,104,205,182
168,269878,136737,2019/3/14,,2019/3/5,,2019/5/20,,2020/2/25,,2019/11/16,,2019/12/9,,60.32337027,0.916393,2020/6/30,474,483,407,126,227,204
169,269878,136736,2019/3/14,,2019/3/5,,2019/5/24,,2020/2/25,,2019/11/14,,2019/12/9,,20.38723652,0.309182,2020/6/3,447,456,376,99,202,177
170,269878,136736,2019/3/14,,2019/3/5,,2019/5/24,,2020/2/25,,2019/11/14,,2019/12/9,,16.82348044,0.264251,2020/6/8,452,461,381,104,207,182
171,269878,136736,2019/3/14,,2019/3/5,,2019/5/24,,2020/2/25,,2019/11/14,,2019/12/9,,60.32337027,0.916393,2020/6/30,474,483,403,126,229,204
212,107009,138444,2018/5/3,,2021/9/16,,2021/10/2,,,,2022/1/19,,2022/1/31,,62.56945077,0.554336,2018/11/14,195,-1037,-1053,,-1162,-1174
213,107009,138444,2018/5/3,,2021/9/16,,2021/10/2,,,,2022/1/19,,2022/1/31,,126.9819896,1.90561,2018/11/15,196,-1036,-1052,,-1161,-1173
214,107009,138444,2018/5/3,,2021/9/16,,2021/10/2,,,,2022/1/19,,2022/1/31,,95.87819799,1.47998,2018/12/15,226,-1006,-1022,,-1131,-1143
215,107009,138444,2018/5/3,,2021/9/16,,2021/10/2,,,,2022/1/19,,2022/1/31,,60.62536235,0.92977,2018/12/25,236,-996,-1012,,-1121,-1133
216,107009,138444,2018/5/3,,2021/9/16,,2021/10/2,,,,2022/1/19,,2022/1/31,,51.37663797,0.793052,2018/12/31,242,-990,-1006,,-1115,-1127
217,751003,136799,2019/1/21,,2019/4/1,,2019/7/2,,2020/2/22,,2019/11/22,,2019/12/18,,161.0760288,2.39037,2020/3/5,409,339,247,12,104,78
218,751003,136799,2019/1/21,,2019/4/1,,2019/7/2,,2020/2/22,,2019/11/22,,2019/12/18,,134.2168839,1.99178,2020/3/18,422,352,260,25,117,91
219,751003,136799,2019/1/21,,2019/4/1,,2019/7/2,,2020/2/22,,2019/11/22,,2019/12/18,,610.5062961,9.05992,2020/4/7,442,372,280,45,137,111
220,751003,136799,2019/1/21,,2019/4/1,,2019/7/2,,2020/2/22,,2019/11/22,,2019/12/18,,431.8568299,6.40876,2020/5/22,487,417,325,90,182,156
221,751003,136799,2019/1/21,,2019/4/1,,2019/7/2,,2020/2/22,,2019/11/22,,2019/12/18,,128.6208768,1.802336667,2020/5/28,493,423,331,96,188,162
222,751003,136799,2019/1/21,,2019/4/1,,2019/7/2,,2020/2/22,,2019/11/22,,2019/12/18,,72.3805482,0.847985,2020/5/29,494,424,332,97,189,163
223,751003,136799,2019/1/21,,2019/4/1,,2019/7/2,,2020/2/22,,2019/11/22,,2019/12/18,,442.0428063,6.55992,2020/6/3,499,429,337,102,194,168
224,751003,136799,2019/1/21,,2019/4/1,,2019/7/2,,2020/2/22,,2019/11/22,,2019/12/18,,653.7747957,9.702025,2020/8/5,562,492,400,165,257,231
225,751003,136799,2019/1/21,,2019/4/1,,2019/7/2,,2020/2/22,,2019/11/22,,2019/12/18,,420.6822518,5.8824835,2020/8/20,577,507,415,180,272,246
226,751003,136799,2019/1/21,,2019/4/1,,2019/7/2,,2020/2/22,,2019/11/22,,2019/12/18,,281.4966552,2.0048745,2020/8/21,578,508,416,181,273,247
227,751003,136799,2019/1/21,,2019/4/1,,2019/7/2,,2020/2/22,,2019/11/22,,2019/12/18,,281.4966552,3.7349744,2020/8/21,578,508,416,181,273,247
228,751003,136799,2019/1/21,,2019/4/1,,2019/7/2,,2020/2/22,,2019/11/22,,2019/12/18,,421.6087843,4.531371033,2020/8/22,579,509,417,182,274,248
229,751003,136799,2019/1/21,,2019/4/1,,2019/7/2,,2020/2/22,,2019/11/22,,2019/12/18,,795.4740786,9.653462,2020/8/23,580,510,418,183,275,249
230,751003,136799,2019/1/21,,2019/4/1,,2019/7/2,,2020/2/22,,2019/11/22,,2019/12/18,,795.4740786,12.096955,2020/8/23,580,510,418,183,275,249
231,751003,136799,2019/1/21,,2019/4/1,,2019/7/2,,2020/2/22,,2019/11/22,,2019/12/18,,352.1765133,2.87110295,2020/8/24,581,511,419,184,276,250
232,751003,136799,2019/1/21,,2019/4/1,,2019/7/2,,2020/2/22,,2019/11/22,,2019/12/18,,623.1989706,7.887798,2020/8/25,582,512,420,185,277,251
233,751003,136799,2019/1/21,,2019/4/1,,2019/7/2,,2020/2/22,,2019/11/22,,2019/12/18,,633.4283116,7.962902,2020/8/26,583,513,421,186,278,252
234,751003,136799,2019/1/21,,2019/4/1,,2019/7/2,,2020/2/22,,2019/11/22,,2019/12/18,,307.6566593,2.4814553,2020/8/27,584,514,422,187,279,253
235,751003,136799,2019/1/21,,2019/4/1,,2019/7/2,,2020/2/22,,2019/11/22,,2019/12/18,,307.6566593,4.647774275,2020/8/27,584,514,422,187,279,253
236,751003,136799,2019/1/21,,2019/4/1,,2019/7/2,,2020/2/22,,2019/11/22,,2019/12/18,,1118.150086,16.593084,2020/8/29,586,516,424,189,281,255
237,751003,136799,2019/1/21,,2019/4/1,,2019/7/2,,2020/2/22,,2019/11/22,,2019/12/18,,43.23290667,0.6415768,2020/9/4,592,522,430,195,287,261
238,751003,136799,2019/1/21,,2019/4/1,,2019/7/2,,2020/2/22,,2019/11/22,,2019/12/18,,110.4557353,1.6391643,2021/2/22,763,693,601,366,458,432
239,751003,136799,2019/1/21,,2019/4/1,,2019/7/2,,2020/2/22,,2019/11/22,,2019/12/18,,190.2497172,2.82330785,2021/4/10,810,740,648,413,505,479
240,751003,136818,2019/1/21,,2019/4/4,,2019/6/25,,2020/2/17,,2019/11/22,,2019/12/18,,161.0760288,2.39037,2020/3/5,409,336,254,17,104,78
241,751003,136818,2019/1/21,,2019/4/4,,2019/6/25,,2020/2/17,,2019/11/22,,2019/12/18,,134.2168839,1.99178,2020/3/18,422,349,267,30,117,91
242,751003,136818,2019/1/21,,2019/4/4,,2019/6/25,,2020/2/17,,2019/11/22,,2019/12/18,,610.5062961,9.05992,2020/4/7,442,369,287,50,137,111
243,751003,136818,2019/1/21,,2019/4/4,,2019/6/25,,2020/2/17,,2019/11/22,,2019/12/18,,431.8568299,6.40876,2020/5/22,487,414,332,95,182,156
244,751003,136818,2019/1/21,,2019/4/4,,2019/6/25,,2020/2/17,,2019/11/22,,2019/12/18,,128.6208768,1.802336667,2020/5/28,493,420,338,101,188,162
245,751003,136818,2019/1/21,,2019/4/4,,2019/6/25,,2020/2/17,,2019/11/22,,2019/12/18,,72.3805482,0.847985,2020/5/29,494,421,339,102,189,163
246,751003,136818,2019/1/21,,2019/4/4,,2019/6/25,,2020/2/17,,2019/11/22,,2019/12/18,,442.0428063,6.55992,2020/6/3,499,426,344,107,194,168
247,751003,136818,2019/1/21,,2019/4/4,,2019/6/25,,2020/2/17,,2019/11/22,,2019/12/18,,653.7747957,9.702025,2020/8/5,562,489,407,170,257,231
248,751003,136818,2019/1/21,,2019/4/4,,2019/6/25,,2020/2/17,,2019/11/22,,2019/12/18,,420.6822518,5.8824835,2020/8/20,577,504,422,185,272,246
249,751003,136818,2019/1/21,,2019/4/4,,2019/6/25,,2020/2/17,,2019/11/22,,2019/12/18,,281.4966552,2.0048745,2020/8/21,578,505,423,186,273,247
250,751003,136818,2019/1/21,,2019/4/4,,2019/6/25,,2020/2/17,,2019/11/22,,2019/12/18,,281.4966552,3.7349744,2020/8/21,578,505,423,186,273,247
251,751003,136818,2019/1/21,,2019/4/4,,2019/6/25,,2020/2/17,,2019/11/22,,2019/12/18,,421.6087843,4.531371033,2020/8/22,579,506,424,187,274,248
252,751003,136818,2019/1/21,,2019/4/4,,2019/6/25,,2020/2/17,,2019/11/22,,2019/12/18,,795.4740786,9.653462,2020/8/23,580,507,425,188,275,249
253,751003,136818,2019/1/21,,2019/4/4,,2019/6/25,,2020/2/17,,2019/11/22,,2019/12/18,,795.4740786,12.096955,2020/8/23,580,507,425,188,275,249
254,751003,136818,2019/1/21,,2019/4/4,,2019/6/25,,2020/2/17,,2019/11/22,,2019/12/18,,352.1765133,2.87110295,2020/8/24,581,508,426,189,276,250
255,751003,136818,2019/1/21,,2019/4/4,,2019/6/25,,2020/2/17,,2019/11/22,,2019/12/18,,623.1989706,7.887798,2020/8/25,582,509,427,190,277,251
256,751003,136818,2019/1/21,,2019/4/4,,2019/6/25,,2020/2/17,,2019/11/22,,2019/12/18,,633.4283116,7.962902,2020/8/26,583,510,428,191,278,252
257,751003,136818,2019/1/21,,2019/4/4,,2019/6/25,,2020/2/17,,2019/11/22,,2019/12/18,,307.6566593,2.4814553,2020/8/27,584,511,429,192,279,253
258,751003,136818,2019/1/21,,2019/4/4,,2019/6/25,,2020/2/17,,2019/11/22,,2019/12/18,,307.6566593,4.647774275,2020/8/27,584,511,429,192,279,253
259,751003,136818,2019/1/21,,2019/4/4,,2019/6/25,,2020/2/17,,2019/11/22,,2019/12/18,,1118.150086,16.593084,2020/8/29,586,513,431,194,281,255
260,751003,136818,2019/1/21,,2019/4/4,,2019/6/25,,2020/2/17,,2019/11/22,,2019/12/18,,43.23290667,0.6415768,2020/9/4,592,519,437,200,287,261
261,751003,136818,2019/1/21,,2019/4/4,,2019/6/25,,2020/2/17,,2019/11/22,,2019/12/18,,110.4557353,1.6391643,2021/2/22,763,690,608,371,458,432
262,751003,136818,2019/1/21,,2019/4/4,,2019/6/25,,2020/2/17,,2019/11/22,,2019/12/18,,190.2497172,2.82330785,2021/4/10,810,737,655,418,505,479
263,751003,136830,2019/1/21,,2019/4/12,,2019/6/14,,2020/2/18,,2019/11/23,,2019/12/19,,161.0760288,2.39037,2020/3/5,409,328,265,16,103,77
264,751003,136830,2019/1/21,,2019/4/12,,2019/6/14,,2020/2/18,,2019/11/23,,2019/12/19,,134.2168839,1.99178,2020/3/18,422,341,278,29,116,90
